Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
1,0.2975,1.4978,1.1918,142,18.511,4.36
1,0.7728,0.4265,-0.6779,142,18.511,4.36
1,1.9974,1.1267,0.2295,95,18.511,4.36
1,-2.238,1.4885,-0.2586,95,18.511,4.36
1,0.7943,1.4179,-0.3713,66,16.842,4.36
1,0.0246,1.4179,-0.3713,66,16.842,4.36
1,1.8082,1.5061,-0.9675,37,16.842,4.36
1,1.7556,2.1675,0.0127,37,13.013,4.36
1,2.7456,1.8933,0.3639,32,13.013,4.36
1,-1.0169,0.8549,0.942,32,13.013,4.36
1,0.428,1.3206,-0.2034,28,14.05,4.36
1,2.1518,1.3206,-0.2034,28,14.05,4.36
1,1.0672,1.2936,-0.1936,28,14.05,4.36
1,2.2991,1.7618,0.3937,30,13.104,4.36
1,-1.4072,1.546,0.067,30,13.104,4.36
1,0.9703,1.5953,-0.6802,37,13.104,4.36
1,0.2161,1.1157,0.0578,37,13.104,4.36
1,1.8908,1.1157,0.0578,52,12.977,4.36
1,0.4675,1.431,0.2504,52,12.977,4.36
1,1.4383,1.7618,0.8012,46,12.977,4.36
1,-0.9319,1.3151,-0.3133,46,13.259,4.36
1,1.5221,1.4341,-0.8574,59,13.259,4.36
1,1.1498,1.3959,0.1814,59,13.259,4.36
1,2.3817,0.9487,-0.6794,59,11.672,4.36
1,0.999,0.9487,-0.6794,59,11.672,4.36
1,0.9679,1.7407,0.0816,63,11.672,4.36
1,1.5197,1.7157,0.1601,63,16.922,4.36
1,0.671,1.2085,0.0267,41,16.922,4.36
1,1.3677,1.5706,0.0012,41,16.922,4.36
1,1.2588,2.278,-0.1623,38,16.922,4.36
1,2.2739,2.278,-0.1623,38,11.951,4.36
1,-0.3058,2.4759,-0.5469,38,11.951,4.36
1,2.0632,2.1782,-0.0145,38,11.951,4.36
1,1.4766,1.7856,0.0623,28,14.11,4.36
1,2.0979,1.469,-0.2126,28,14.11,4.36
1,2.001,2.5017,0.0804,28,14.11,4.36
1,4.3688,2.5017,0.0804,27,12.522,4.36
1,-0.1562,2.2492,0.3731,27,12.522,4.36
1,0.4795,1.1841,-0.0926,30,12.522,4.36
1,1.3306,1.5039,-0.0006,30,11.878,4.36
1,1.8681,2.223,0.3841,30,11.878,4.36
1,3.3513,1.8097,-0.3184,32,11.878,4.36
1,0.4376,1.4873,-0.1487,32,11.878,4.36
1,1.0864,1.4873,-0.1487,46,13.928,4.36
1,1.8609,1.5589,0.0976,46,13.928,4.36
1,3.1897,1.8478,-1.0751,46,13.928,4.36
1,4.4131,3.2726,-0.2834,87,13.356,4.36
1,0.4771,2.6756,0.3545,87,13.356,4.36
1,1.667,1.5483,0.5288,87,13.356,4.36
1,0.5345,1.5483,0.5288,166,18.488,4.36
1,1.2037,1.3368,-0.2066,166,18.488,4.36
1,1.6299,1.7589,0.1998,242,18.488,4.36
1,3.2076,1.9356,0.6568,242,18.488,4.36
1,0.5142,1.2884,-0.5648,242,12.79,4.36
1,0.9511,1.2285,-0.0883,226,12.79,4.36
1,1.7005,1.2285,-0.0883,226,12.79,4.36
1,1.7963,1.8604,-0.2474,200,10.096,4.36
1,6.3405,3.4681,0.4907,200,10.096,4.36
1,2.5074,3.0326,0.534,80,10.096,4.36
1,1.9938,2.2128,-0.1659,80,13.793,4.36
